"","state","Date_confirmation","confirmed","cumulative_confirmed","state_07d","pop2021","cumulative_confirmed_per_1M"
"340","North Dakota",2022-07-20,1,1,3,774948,1.29040916293738
"341","Ohio",2022-06-29,1,3,3.57142857142857,11780017,0.254668562872193
"342","Ohio",2022-06-13,1,1,2.28571428571429,11780017,0.0848895209573976
"343","Ohio",2022-07-12,1,4,3.85714285714286,11780017,0.33955808382959
"344","Ohio",2022-06-27,1,2,4.71428571428571,11780017,0.169779041914795
"345","Oklahoma",2022-07-15,1,3,13.2857142857143,3986639,0.752513583497277
"346","Oklahoma",2022-07-21,1,4,37,3986639,1.00335144466304
"347","Oklahoma",2022-06-17,1,2,2.14285714285714,3986639,0.501675722331518
"348","Oklahoma",2022-06-10,1,1,2.14285714285714,3986639,0.250837861165759
"349","Oregon",2022-07-15,1,9,14.8571428571429,4246155,2.11956464142265
"350","Oregon",2022-06-16,1,1,1.71428571428571,4246155,0.235507182380295
"351","Oregon",2022-07-07,2,5,8.14285714285714,4246155,1.17753591190147
"352","Oregon",2022-07-14,3,8,11.4285714285714,4246155,1.88405745904236
"353","Oregon",2022-07-22,27,36,25.5714285714286,4246155,8.47825856569061
"354","Oregon",2022-07-05,1,3,10.8571428571429,4246155,0.706521547140884
"355","Oregon",2022-07-01,1,2,5.57142857142857,4246155,0.471014364760589
"356","Pennsylvania",2022-07-14,11,43,11.4285714285714,12964056,3.31686317923958
"357","Pennsylvania",2022-06-30,2,10,5.57142857142857,12964056,0.771363530055717
"358","Pennsylvania",2022-07-08,6,23,5.28571428571429,12964056,1.77413611912815
"359","Pennsylvania",2022-06-28,2,4,4.28571428571429,12964056,0.308545412022287
"360","Pennsylvania",2022-07-01,4,14,5.14285714285714,12964056,1.079908942078
"361","Pennsylvania",2022-07-13,3,32,3,12964056,2.46836329617829
"362","Pennsylvania",2022-06-14,1,2,2,12964056,0.154272706011143
"363","Pennsylvania",2022-07-12,2,29,5.14285714285714,12964056,2.23695423716158
"364","Pennsylvania",2022-06-02,1,1,1,12964056,0.0771363530055717
"365","Pennsylvania",2022-07-05,3,17,10.1428571428571,12964056,1.31131800109472
"366","Pennsylvania",2022-06-29,4,8,3.42857142857143,12964056,0.617090824044574
"367","Pennsylvania",2022-07-11,4,27,3.14285714285714,12964056,2.08268153115044
