"","Country","Date_confirmation","confirmed","suspected","cumulative_confirmed","cumulative_suspected","confirmed_suspected","cumulative_confirmed_suspected","pop2022","daily_confirmed_per_1M","daily_suspected_per_1M","daily_confirmed_suspected_per_1M","cumulative_confirmed_per_1M","cumulative_suspected_per_1M","cumulative_confirmed_suspected_per_1M","daily_confirmed_07d","daily_suspected_07d","daily_confirmed_suspected_07d"
"111","Canada",2022-07-18,35,0,573,2,35,575,38388419,0.91,0,0.91,14.93,0.05,14.98,20.1428571428571,0.142857142857143,20.2857142857143
"112","Canada",2022-07-02,25,0,312,2,25,314,38388419,0.65,0,0.65,8.13,0.05,8.18,21.5714285714286,0,21.5714285714286
"113","Canada",2022-06-13,8,0,124,2,8,126,38388419,0.21,0,0.21,3.23,0.05,3.28,21.8571428571429,0,21.8571428571429
"114","Canada",2022-06-27,22,0,257,2,22,259,38388419,0.57,0,0.57,6.69,0.05,6.75,21.5714285714286,0,21.5714285714286
"115","Canada",2022-07-04,37,0,349,2,37,351,38388419,0.96,0,0.96,9.09,0.05,9.14,22.2857142857143,0,22.2857142857143
"116","Canada",2022-06-03,3,0,80,1,3,81,38388419,0.08,0,0.08,2.08,0.03,2.11,23.4285714285714,0,23.4285714285714
"117","Canada",2022-07-06,21,0,370,2,21,372,38388419,0.55,0,0.55,9.64,0.05,9.69,27.5714285714286,0,27.5714285714286
"118","Canada",2022-07-19,40,0,613,2,40,615,38388419,1.04,0,1.04,15.97,0.05,16.02,25.8571428571429,0,25.8571428571429
"119","Canada",2022-06-21,33,0,210,2,33,212,38388419,0.86,0,0.86,5.47,0.05,5.52,22.8571428571429,0,22.8571428571429
"120","Canada",2022-07-14,37,0,530,2,37,532,38388419,0.96,0,0.96,13.81,0.05,13.86,22.8571428571429,0,22.8571428571429
"121","Canada",2022-05-23,10,0,15,0,10,15,38388419,0.26,0,0.26,0.39,0,0.39,24.7142857142857,0,24.7142857142857
"122","Canada",2022-07-13,16,0,493,2,16,495,38388419,0.42,0,0.42,12.84,0.05,12.89,19.7142857142857,0,19.7142857142857
"123","Canada",2022-06-10,3,0,116,2,3,118,38388419,0.08,0,0.08,3.02,0.05,3.07,19.2857142857143,0,19.2857142857143
"124","Canada",2022-06-14,34,0,158,2,34,160,38388419,0.89,0,0.89,4.12,0.05,4.17,15.5714285714286,0,15.5714285714286
"125","Canada",2022-07-08,5,0,375,2,5,377,38388419,0.13,0,0.13,9.77,0.05,9.82,15.7142857142857,0,15.7142857142857
"126","Canada",2022-07-26,30,0,744,4,30,748,38388419,0.78,0,0.78,19.38,0.1,19.49,18.2857142857143,0,18.2857142857143
"127","Canada",2022-06-09,11,0,113,2,11,115,38388419,0.29,0,0.29,2.94,0.05,3,19.2857142857143,0,19.2857142857143
"128","Canada",2022-05-26,11,0,26,0,11,26,38388419,0.29,0,0.29,0.68,0,0.68,16.1428571428571,0,16.1428571428571
"129","Canada",2022-07-25,34,0,714,4,34,718,38388419,0.89,0,0.89,18.6,0.1,18.7,19,0,19
"130","Canada",2022-06-17,10,0,177,2,10,179,38388419,0.26,0,0.26,4.61,0.05,4.66,14.8571428571429,0,14.8571428571429
"131","Canada",2022-06-29,12,0,287,2,12,289,38388419,0.31,0,0.31,7.48,0.05,7.53,13.4285714285714,0,13.4285714285714
"132","Canada",2022-06-23,25,0,235,2,25,237,38388419,0.65,0,0.65,6.12,0.05,6.17,11.8571428571429,0.285714285714286,12.1428571428571
"133","Canada",2022-05-31,1,0,27,0,1,27,38388419,0.03,0,0.03,0.7,0,0.7,16.5714285714286,0.285714285714286,16.8571428571429
"134","Canada",2022-06-08,1,0,102,2,1,104,38388419,0.03,0,0.03,2.66,0.05,2.71,15.5714285714286,0.285714285714286,15.8571428571429
"135","Canada",2022-07-23,0,2,680,4,2,684,38388419,0,0.05,0.05,17.71,0.1,17.82,15,0.285714285714286,15.2857142857143
"136","Canada",2022-07-22,67,0,680,2,67,682,38388419,1.75,0,1.75,17.71,0.05,17.77,12,0.285714285714286,12.2857142857143
"137","Canada",2022-07-09,3,0,378,2,3,380,38388419,0.08,0,0.08,9.85,0.05,9.9,11.8571428571429,1.57142857142857,13.4285714285714
"138","Canada",2022-07-15,8,0,538,2,8,540,38388419,0.21,0,0.21,14.01,0.05,14.07,12,1.57142857142857,13.5714285714286
"139","Central African Republic",2022-04-10,4,0,6,0,4,6,5016678,0.8,0,0.8,1.2,0,1.2,12.2857142857143,1.28571428571429,13.5714285714286
"140","Central African Republic",2022-06-01,0,9,8,9,9,17,5016678,0,1.79,1.79,1.59,1.79,3.39,2.85714285714286,1.28571428571429,4.14285714285714
"141","Central African Republic",2022-03-04,2,0,2,0,2,2,5016678,0.4,0,0.4,0.4,0,0.4,2.57142857142857,1.28571428571429,3.85714285714286
"142","Central African Republic",2022-05-19,2,0,8,0,2,8,5016678,0.4,0,0.4,1.59,0,1.59,1.57142857142857,1.28571428571429,2.85714285714286
"143","Chile",2022-07-13,1,0,19,1,1,20,19250195,0.05,0,0.05,0.99,0.05,1.04,1.14285714285714,1.28571428571429,2.42857142857143
"144","Chile",2022-06-24,1,0,7,0,1,7,19250195,0.05,0,0.05,0.36,0,0.36,1.42857142857143,0,1.42857142857143
"145","Chile",2022-07-03,1,0,9,1,1,10,19250195,0.05,0,0.05,0.47,0.05,0.52,1.42857142857143,0.142857142857143,1.57142857142857
"146","Chile",2022-07-14,1,0,20,1,1,21,19250195,0.05,0,0.05,1.04,0.05,1.09,3,0.142857142857143,3.14285714285714
"147","Chile",2022-07-12,2,0,18,1,2,19,19250195,0.1,0,0.1,0.94,0.05,0.99,3.28571428571429,0.142857142857143,3.42857142857143
"148","Chile",2022-07-18,2,1,26,2,3,28,19250195,0.1,0.05,0.16,1.35,0.1,1.45,3.28571428571429,0.142857142857143,3.42857142857143
"149","Chile",2022-07-21,13,0,39,2,13,41,19250195,0.68,0,0.68,2.03,0.1,2.13,3.28571428571429,0.142857142857143,3.42857142857143
"150","Chile",2022-06-23,3,0,6,0,3,6,19250195,0.16,0,0.16,0.31,0,0.31,3.14285714285714,0.285714285714286,3.42857142857143
